Sequence ID	Probability of presequence	Prediction	Cleavage site (processing enzyme)	Net charge	Positions for TOM20 recognition motif (deliminated by comma)	Position of amphypathic alpha-helix	BHHPPP	BPHBHH	HBHHBb	HBHHbB	HHBHHB	HHBPHB	HHBPHH	HHBPHP	HHHBBH	HHHBPH	HHHHBB	HHPBHH	HPBHHP	PHHBPH
6YDP_9|Chain I[auth Bc]|Mitochondrial ribosomal protein L39|Sus scrofa (9823)	0.939	Possessing mitochondrial presequence	23(MPP)	0.130	10-14	9-18-high	-	-	-	11-16	-	-	-	-	-	-	-	-	-	-	
6YDP_87|Chain PC[auth BT]|Mitochondrial ribosomal protein L19|Sus scrofa (9823)	0.080	No mitochondrial presequence	36(MPP), 37(Icp55*)	0.083		11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YDP_86|Chain OC[auth BS]|Mitochondrial ribosomal protein L18|Sus scrofa (9823)	0.921	Possessing mitochondrial presequence	21(MPP)	0.190		3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YDP_85|Chain NC[auth BR]|Uncharacterized protein|Sus scrofa (9823)	0.840	Possessing mitochondrial presequence	39(MPP)	0.128	56-60,72-76,86-90	10-19-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YDP_84|Chain MC[auth BQ]|uL16m|Sus scrofa (9823)	0.947	Possessing mitochondrial presequence	74(MPP)	0.095	1-5,5-9	1-14-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YDP_83|Chain LC[auth BP]|uL15m|Sus scrofa (9823)	0.053	No mitochondrial presequence	91(MPP)	0.198	15-19	14-23-high	-	-	-	16-21	-	-	-	-	-	-	-	-	-	-	
6YDP_82|Chain KC[auth BO]|uL14m|Sus scrofa (9823)	0.998	Possessing mitochondrial presequence	22(MPP), 30(Oct1)	0.136	14-18,57-61	7-18-high	21-26	-	-	-	-	-	-	-	-	-	-	-	14-19	-	
6YDP_80|Chain IC[auth BK]|Mitochondrial ribosomal protein L11|Sus scrofa (9823)	0.930	Possessing mitochondrial presequence	43(MPP)	0.186	7-11,19-23,90-94	4-13-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YDP_8|Chain H[auth Bb]|Mitochondrial ribosomal protein L38|Sus scrofa (9823)	0.965	Possessing mitochondrial presequence	18(MPP), 26(Oct1)	0.222	5-9	12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YDP_79|Chain HC[auth BJ]|Mitochondrial ribosomal protein L10|Sus scrofa (9823)	0.954	Possessing mitochondrial presequence	39(MPP)	0.179	78-82	1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
