Sequence ID	Probability of presequence	Prediction	Cleavage site (processing enzyme)	Net charge	Positions for TOM20 recognition motif (deliminated by comma)	Position of amphypathic alpha-helix	BHHPPP	BPHBHH	HBHHBb	HBHHbB	HHBHHB	HHBPHB	HHBPHH	HHBPHP	HHHBBH	HHHBPH	HHHHBB	HHPBHH	HPBHHP	PHHBPH
6XYW_9|Chain I[auth Ai]|At4g35490|Arabidopsis thaliana (3702)	0.561	Possessing mitochondrial presequence	113(MPP)	0.097	88-92	1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6XYW_87|Chain IC[auth Ah]|50S ribosomal protein L10|Arabidopsis thaliana (3702)	0.254	No mitochondrial presequence	46(MPP)	0.087	4-8,60-64	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6XYW_86|Chain HC[auth Az]|At5g55140|Arabidopsis thaliana (3702)	0.106	No mitochondrial presequence	32(MPP)	0.125	65-69	18-27-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6XYW_8|Chain H[auth Ag]|Ribosomal protein L9/RNase H1|Arabidopsis thaliana (3702)	0.644	Possessing mitochondrial presequence	41(MPP)	0.098	11-15,74-78,83-87	8-17-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6XYW_77|Chain YB[auth BE]|3-hydroxyisobutyryl-CoA hydrolase-like protein 2, mitochondrial|Arabidopsis thaliana (3702)	0.889	Possessing mitochondrial presequence	26(MPP)	0.192	73-77	5-14-high	-	-	-	-	-	-	-	16-21	-	-	-	-	-	15-20	
6XYW_74|Chain VB[auth BB]|mS38|Arabidopsis thaliana (3702)	0.592	Possessing mitochondrial presequence	22(MPP)	0.182	5-9	1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6XYW_73|Chain UB[auth By]|28S ribosomal S34 protein|Arabidopsis thaliana (3702)	0.948	Possessing mitochondrial presequence	28(MPP), 29(Icp55*)	0.107	6-10	20-29-high	-	-	-	-	-	-	-	25-30	-	-	-	5-10	6-11	24-29	
6XYW_71|Chain SB[auth Bu]|Uncharacterized protein|Arabidopsis thaliana (3702)	0.671	Possessing mitochondrial presequence	58(MPP), 59(Icp55*)	0.103	26-30,45-49,56-60	7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6XYW_70|Chain RB[auth Bs]|Ribosomal protein S21 family protein|Arabidopsis thaliana (3702)	0.278	No mitochondrial presequence	26(MPP)	0.115	36-40,52-56	1-12-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6XYW_69|Chain QB[auth Bq]|F10K1.8 protein|Arabidopsis thaliana (3702)	0.928	Possessing mitochondrial presequence	27(MPP), 28(Icp55*)	0.185	3-7	16-25-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6XYW_68|Chain PB[auth Bp]|Nucleic acid-binding, OB-fold-like protein|Arabidopsis thaliana (3702)	0.024	No mitochondrial presequence	24(MPP)	0.125	21-25,30-34	20-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6XYW_67|Chain OB[auth Bo]|30S ribosomal protein S16-2, chloroplastic/mitochondrial|Arabidopsis thaliana (3702)	0.179	No mitochondrial presequence	20(MPP), 21(Icp55*)	0.300	17-21,73-77	10-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6XYW_66|Chain NB[auth Bn]|At1g15810/F7H2_23|Arabidopsis thaliana (3702)	0.957	Possessing mitochondrial presequence	21(MPP), 22(Icp55*)	0.190	2-6,18-22	16-25-high	20-25	-	-	-	2-7	-	-	-	-	-	-	-	-	-	
6XYW_65|Chain MB[auth Bj]|Probable ribosomal protein S11, mitochondrial|Arabidopsis thaliana (3702)	0.624	Possessing mitochondrial presequence	29(MPP), 30(Icp55*)	0.138		11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	15-20	
6XYW_62|Chain JB[auth Bd]|At1g64880|Arabidopsis thaliana (3702)	0.998	Possessing mitochondrial presequence	65(MPP), 66(Icp55*)	0.154	10-14,76-80	21-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6XYW_61|Chain IB[auth Bc]|Ribosomal protein S4, mitochondrial|Arabidopsis thaliana (3702)	0.883	Possessing mitochondrial presequence	24(MPP), 25(Icp55*)	0.125	4-8	4-13-high	-	-	-	-	-	-	-	-	2-7	-	1-6	-	-	-	
6XYW_60|Chain HB[auth Ba]|Ribosomal protein S2, mitochondrial|Arabidopsis thaliana (3702)	0.647	Possessing mitochondrial presequence	21(MPP)	0.143	8-12,53-57	8-17-high	-	-	-	-	-	-	-	-	-	-	-	7-12	8-13	-	
6XYW_6|Chain F[auth Ae]|60S ribosomal protein L5, mitochondrial|Arabidopsis thaliana (3702)	0.005	No mitochondrial presequence	67(MPP)	0.030		7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6XYW_57|Chain EB[auth BG]|Pentatricopeptide repeat-containing protein At3g02650, mitochondrial|Arabidopsis thaliana (3702)	0.976	Possessing mitochondrial presequence	54(MPP), 55(Icp55*)	0.167		1-11-high	-	-	-	-	-	-	1-6	-	-	-	-	-	-	-	
6XYW_56|Chain DB[auth Bt]|30S ribosomal protein S31, mitochondrial|Arabidopsis thaliana (3702)	0.634	Possessing mitochondrial presequence	30(MPP), 31(Icp55*)	0.133		5-14-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6XYW_54|Chain BB[auth Bz]|AT3G18240 protein|Arabidopsis thaliana (3702)	0.959	Possessing mitochondrial presequence	46(MPP), 47(Icp55*)	0.152	13-17,86-90	18-27-high	-	-	-	-	-	-	-	5-10	11-16	4-9	-	-	-	-	
6XYW_53|Chain AB[auth Bx]|37S ribosomal protein S27|Arabidopsis thaliana (3702)	0.743	Possessing mitochondrial presequence	37(MPP)	0.108	26-30	6-15-low	-	-	-	23-28	-	-	-	-	-	-	-	-	-	-	
6XYW_52|Chain ZA[auth Bw]|Mitochondrial 28S ribosomal protein S29-like protein|Arabidopsis thaliana (3702)	0.676	Possessing mitochondrial presequence	50(MPP), 51(Icp55*)	0.100	47-51	20-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6XYW_51|Chain YA[auth Br]|40S ribosomal protein S19, mitochondrial|Arabidopsis thaliana (3702)	0.996	Possessing mitochondrial presequence	28(MPP), 29(Icp55*)	0.107		7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6XYW_50|Chain XA[auth Bm]|At2g34520|Arabidopsis thaliana (3702)	0.497	Possessing mitochondrial presequence	48(MPP), 49(Icp55*)	0.125	4-8,89-93	4-13-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6XYW_5|Chain E[auth Ad]|50S ribosomal protein L4|Arabidopsis thaliana (3702)	0.926	Possessing mitochondrial presequence	54(MPP), 55(Icp55*)	0.111		4-13-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6XYW_49|Chain WA[auth Bl]|Small ribosomal subunit protein S13, mitochondrial|Arabidopsis thaliana (3702)	0.807	Possessing mitochondrial presequence	59(MPP)	0.119		13-22-low	-	-	-	-	-	-	-	18-23	-	-	-	-	-	17-22	
6XYW_48|Chain VA[auth Bi]|40S ribosomal protein S10, mitochondrial|Arabidopsis thaliana (3702)	0.996	Possessing mitochondrial presequence	60(MPP)	0.100		15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6XYW_47|Chain UA[auth Bh]|30S ribosomal protein S9, mitochondrial|Arabidopsis thaliana (3702)	0.949	Possessing mitochondrial presequence	33(MPP), 34(Icp55*)	0.152	2-6	21-30-high	-	-	-	-	-	-	-	-	-	-	-	1-6	-	-	
6XYW_46|Chain TA[auth Bf]|Ribosomal protein S7, mitochondrial|Arabidopsis thaliana (3702)	0.115	No mitochondrial presequence	30(MPP)	0.200	12-16,46-50,88-92	9-18-high	-	-	-	-	-	-	-	-	10-15	-	-	-	-	-	
6XYW_45|Chain SA[auth Bb]|Ribosomal protein S3, mitochondrial|Arabidopsis thaliana (3702)	0.045	No mitochondrial presequence	69(MPP)	0.145	28-32,57-61,70-74	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
