Sequence ID	Probability of presequence	Prediction	Cleavage site (processing enzyme)	Net charge	Positions for TOM20 recognition motif (deliminated by comma)	Position of amphypathic alpha-helix	BHHPPP	BPHBHH	HBHHBb	HBHHbB	HHBHHB	HHBPHB	HHBPHH	HHBPHP	HHHBBH	HHHBPH	HHHHBB	HHPBHH	HPBHHP	PHHBPH
6YWY_9|Chain I[auth g]|uL11m|Neurospora crassa (5141)	0.001	No mitochondrial presequence	53(MPP)	0.075	1-5,15-19	12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YWY_32|Chain FA[auth 4]|L51_S25_CI-B8 domain-containing protein|Neurospora crassa (5141)	0.004	No mitochondrial presequence	40(MPP)	0.075	49-53,74-78	6-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YWY_82|Chain FC[auth e]|60S ribosomal protein L1, mitochondrial|Neurospora crassa (5141)	0.469	Possessing mitochondrial presequence	42(MPP)	0.095	27-31,81-85,84-88	4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YWY_8|Chain H[auth f]|Related to ribosomal protein YmL11, mitochondrial|Neurospora crassa (5141)	0.990	Possessing mitochondrial presequence	26(MPP)	0.231		10-19-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YWY_75|Chain XB[auth 77]|mS46|Neurospora crassa (5141)	0.979	Possessing mitochondrial presequence	28(MPP), 36(Oct1)	0.143		13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YWY_74|Chain WB[auth 66]|mS45|Neurospora crassa (5141)	0.007	No mitochondrial presequence	26(MPP)	0.077		4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YWY_72|Chain TB[auth 33]|Protein FYV4, mitochondrial|Neurospora crassa (5141)	0.540	Possessing mitochondrial presequence	35(MPP)	0.114		7-16-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YWY_71|Chain SB[auth 22]|DUF1713 domain-containing protein|Neurospora crassa (5141)	0.826	Possessing mitochondrial presequence	48(MPP), 56(Oct1)	0.125	6-10	2-11-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YWY_7|Chain G|RIBOSOMAL_L9 domain-containing protein|Neurospora crassa (5141)	0.923	Possessing mitochondrial presequence	51(MPP)	0.137	16-20,64-68	16-25-high	-	-	-	-	-	-	-	-	14-19	-	13-18	-	-	-	
6YWY_69|Chain QB[auth ZZ]|37S ribosomal protein S24, mitochondrial|Neurospora crassa (5141)	0.995	Possessing mitochondrial presequence	33(MPP), 41(Oct1)	0.182	84-88	6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YWY_68|Chain PB[auth YY]|mS33|Neurospora crassa (5141)	0.230	No mitochondrial presequence	37(MPP)	0.135	78-82	10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YWY_67|Chain OB[auth XX]|Mitochondrial ribosomal protein DAP3|Neurospora crassa (5141)	0.926	Possessing mitochondrial presequence	13(MPP)	0.154	6-10	3-12-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YWY_66|Chain NB[auth WW]|mS27|Neurospora crassa (5141)	0.976	Possessing mitochondrial presequence	30(MPP), 38(Oct1)	0.133		17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YWY_65|Chain MB[auth VV]|mS26|Neurospora crassa (5141)	0.032	No mitochondrial presequence	38(MPP), 46(Oct1)	0.079	30-34	5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YWY_64|Chain LB[auth UU]|37S ribosomal protein S25, mitochondrial|Neurospora crassa (5141)	0.027	No mitochondrial presequence	52(MPP)	0.077	9-13,36-40	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YWY_63|Chain KB[auth TT]|bS21m|Neurospora crassa (5141)	0.883	Possessing mitochondrial presequence	38(MPP)	0.105		3-12-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6YWY_62|Chain JB[auth SS]|Ribosomal protein S19/S15|Neurospora crassa (5141)	0.743	Possessing mitochondrial presequence	41(MPP)	0.195		8-17-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
